Order list for C:/Users/beabr/Desktop/Eagle_Report/REPORT_flussimetro.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
2		1X02	1248140	AMP - TE CONNECTIVITY	826926-2	52396	0.103	AMP - TE CONNECTIVITY - 826926-2 - Connettore a strip maschio, dritto, scheda a scheda, 2.54 mm, 1 File, 2 Contatti
6	100n	C0603-ROUND	4726741	GEDORE	4550-10	6	250.45	GEDORE - 4550-10 - Chiave dinamometrica, attacco 0,5", lunghezza 395mm, 10N-m/100N-m
1	47u	C0603	3582851	MURATA	GRM188R60J476ME15D	120	0.132	MURATA - GRM188R60J476ME15D - Condensatore ceramico multistrato SMD, 47 µF, 6.3 V, 0603 [1608 metrico], ± 20%, X5R, GRM Series
1	2.2 uF	A/3216-18R	197233	KYOCERA AVX	TAJA225K016RNJ	15437	0.181	KYOCERA AVX - TAJA225K016RNJ - Condensatore al tantalio SMT, 2.2 µF, 16 V, 1206 [3216 metrico], ± 10%, 6.5 ohm, A
1	1u	C0603-ROUND	2211167	TDK	C1608X5R1C105K080AA	21537	0.0274	TDK - C1608X5R1C105K080AA - Condensatore ceramico multistrato SMD, 1 µF, 16 V, 0603 [1608 metrico], ± 10%, X5R, C
2	22p	C0603-ROUND	2332610	KYOCERA AVX	06035A220FAT2A	10031	0.125	KYOCERA AVX - 06035A220FAT2A - Condensatore ceramico multistrato SMD, 22 pF, 50 V, 0603 [1608 metrico], ± 1%, C0G / NP0
1	0.1 uF	C0603	1327679	KYOCERA AVX	0603YC104KAT2A	114105	0.0348	KYOCERA AVX - 0603YC104KAT2A - Condensatore ceramico multistrato SMD, 0.1 µF, 16 V, 0603 [1608 metrico], ± 10%, X7R, AVX 0603 MLCC
1	M7	SMB	1773482	DIODES INC.	S1M-13-F	46110	0.072	DIODES INC. - S1M-13-F - Diodo a recupero standard, 1 kV, 1 A, singolo, 1.1 V, 1.8 µs, 30 A
2	CD1206-S01575	MINIMELF	2211947	BOURNS	CD1206-S01575	0	0.0185	BOURNS - CD1206-S01575 - Diodo per piccoli segnali, AEC-Q101, singolo, 100 V, 150 mA, 1 V, 4 ns, 4 A
1	MF-MSMF050-2 500mA	L1812	9350314	BOURNS	MF-MSMF050-2	27651	0.257	BOURNS - MF-MSMF050-2 - Fusibile ripristinabile PPTC, 1812 (4532 metrico), MF-MSMF, 15 VDC, 500 mA, 1 A, 0.15 s
1		1X06	1593415	MULTICOMP PRO	2211S-06G	174356	0.0213	MULTICOMP PRO - 2211S-06G - Connettore a strip maschio, scheda a scheda, 2.54 mm, 1 File, 6 Contatti		
1	1182-A4988	A4988	474-ROB-14451	SparkFun	ROB-14451			12.57 - Strumenti di sviluppo CI di gestione alimentazione SparkFun MotorDriver Dual TB6612FNG 1A						
